0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
61,96,91,78,89,38,93,28,40,60,80,27,4,10,23,9,68,88,71,8,35,85,24,14,26,94,1,83,73,58,12,92,77,57,5,11,74,51,33,66,65,84,76,62,97,3,79,43,72,56,29,36,13,86,17,21,31,7,46,32,52,42,87,25,67,90,98,48,70,50,0,81,37,20,39,22,99,59,34,55,69,95,75,54,19,45,30,18,63,2,53,47,6,82,15,16,44,64,41,49
31,58,61,99,65,85,50,43,89,96,64,33,45,13,40,95,44,29,34,53,93,54,69,66,8,10,12,37,83,52,42,7,26,30,2,49,6,79,56,23,24,88,3,38,81,80,21,55,97,14,9,84,91,98,60,63,87,35,36,73,71,62,5,92,86,1,22,46,72,20,41,70,59,74,51,48,76,18,11,75,78,39,28,90,47,32,27,15,68,94,82,57,17,77,4,19,16,67,25,0
72,6,49,58,79,25,39,70,32,18,37,31,36,78,80,50,88,66,85,60,26,89,98,30,71,63,61,21,93,42,1,40,95,46,16,4,47,13,14,74,76,53,20,54,44,35,86,9,81,94,48,52,67,51,99,77,73,24,10,8,69,90,83,57,23,64,62,97,17,38,33,41,3,0,15,22,27,75,2,45,5,12,43,11,91,84,7,29,55,87,28,92,82,19,59,56,65,96,34,68
14,93,63,18,80,88,54,94,23,90,21,10,87,32,57,2,37,3,43,29,97,84,45,9,66,76,68,99,33,11,79,61,16,72,58,42,17,77,19,51,28,1,85,6,92,20,48,70,22,5,27,50,34,24,65,46,62,47,59,4,89,38,7,67,12,30,86,55,71,49,36,31,40,41,53,44,52,69,91,25,73,8,82,60,35,0,13,26,98,56,78,64,74,39,15,81,83,75,96,95
49,61,86,62,39,89,58,97,36,82,1,75,16,47,45,67,7,11,46,20,95,54,74,94,69,57,12,13,71,78,51,4,85,9,70,34,50,37,83,27,68,30,84,35,28,21,53,98,76,0,41,17,77,90,55,60,93,22,87,42,2,43,29,64,66,23,19,81,52,33,73,25,6,88,31,63,40,5,32,38,44,96,26,91,59,15,79,65,18,48,80,3,92,10,56,14,99,24,8,72
51,99,92,98,19,16,50,55,25,4,78,72,23,17,71,8,27,91,94,82,29,97,45,81,15,32,18,10,74,53,47,48,66,5,59,62,34,49,96,42,70,6,58,1,89,83,26,56,86,54,67,64,85,30,95,57,31,14,44,52,68,3,21,28,93,60,63,40,80,11,7,2,9,84,41,22,69,87,73,13,61,33,38,36,88,90,76,39,43,79,46,65,77,12,37,0,35,75,20,24
41,15,65,81,8,4,6,53,58,86,31,24,72,62,13,73,85,89,7,12,11,5,28,0,42,91,83,54,98,78,99,93,79,35,87,9,48,36,47,61,68,64,49,45,80,97,32,57,59,60,1,16,38,22,69,92,14,70,27,26,30,82,63,17,3,25,10,96,50,52,75,40,71,29,74,51,44,34,33,84,67,90,43,95,55,19,46,76,66,2,20,21,88,94,56,39,37,18,23,77
93,37,55,5,7,49,41,96,19,11,61,89,68,57,52,71,87,23,91,6,98,45,86,83,24,99,51,64,67,48,88,63,31,73,27,8,97,13,2,1,66,36,46,32,12,53,84,56,15,70,85,29,95,65,28,80,4,47,25,44,38,50,10,62,58,92,17,16,43,20,18,60,94,3,90,22,79,42,35,76,33,72,9,30,21,82,34,54,39,26,69,40,74,0,14,78,77,75,81,59
11,23,78,66,37,75,86,39,0,10,98,83,29,30,59,12,13,76,17,49,93,96,21,15,70,43,14,35,26,72,3,45,40,99,73,64,1,18,20,68,88,27,61,33,44,24,48,50,58,60,80,5,31,4,36,67,85,2,8,62,34,22,19,32,94,56,46,97,47,38,90,52,55,79,54,82,77,57,81,71,28,65,69,89,84,41,87,25,63,16,95,42,9,6,53,92,74,91,7,51
30,11,67,50,92,15,47,36,18,22,79,66,52,87,51,95,0,68,54,75,28,74,70,8,32,41,83,78,72,43,64,27,77,84,61,88,26,21,33,57,93,35,17,45,91,99,76,63,71,86,62,49,56,44,69,9,73,46,10,16,12,82,5,7,4,85,31,80,37,42,89,19,2,55,97,14,53,38,60,23,39,58,6,24,29,40,13,34,96,1,98,81,59,48,3,94,65,25,20,90
