"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"kroA200","H",10,0.1,"GA","restart",277445.73258,257714.958585859,228050.312121212
"kroA200","H",10,0.1,"GA","ri",217246.29952,210026.597373737,180361.950909091
"kroA200","H",10,0.25,"GA","restart",277494.7593,257690.992727273,228026.346262626
"kroA200","H",10,0.25,"GA","ri",249580.9212,236379.736363636,206715.08989899
"kroA200","H",10,0.5,"GA","restart",277453.8643,257668.603232323,228003.956767677
"kroA200","H",10,0.5,"GA","ri",270881.71746,252334.03979798,222669.393333333
"kroA200","H",10,0.75,"GA","restart",277441.57546,257681.54989899,228016.903434344
"kroA200","H",10,0.75,"GA","ri",278443.6729,257756.491717172,228091.845252525
"kroA200","H",10,1,"GA","restart",277580.1251,257808.156767677,228143.51030303
"kroA200","H",10,1,"GA","ri",280086.6179,258915.377575758,229250.731111111
"kroA200","H",25,0.1,"GA","restart",250615.98078,222950.816923077,192829.791282051
"kroA200","H",25,0.1,"GA","ri",186537.58074,178498.563076923,148377.537435897
"kroA200","H",25,0.25,"GA","restart",250697.24192,222883.194871795,192762.169230769
"kroA200","H",25,0.25,"GA","ri",218512.63658,202143.935897436,172022.91025641
"kroA200","H",25,0.5,"GA","restart",250505.41154,222721.637435897,192600.611794872
"kroA200","H",25,0.5,"GA","ri",241940.84902,217069.808205128,186948.782564103
"kroA200","H",25,0.75,"GA","restart",250661.90158,223090.836923077,192969.811282051
"kroA200","H",25,0.75,"GA","ri",251117.44262,222730.063076923,192609.037435897
"kroA200","H",25,1,"GA","restart",250566.72826,222812.962051282,192691.936410256
"kroA200","H",25,1,"GA","ri",252482.06794,223313.175897436,193192.15025641
"kroA200","H",50,0.1,"GA","restart",224916.19384,196010.718947368,165097.034736842
"kroA200","H",50,0.1,"GA","ri",164258.94746,157583.070526316,126669.386315789
"kroA200","H",50,0.25,"GA","restart",224740.31878,196160.66,165246.975789474
"kroA200","H",50,0.25,"GA","ri",193598.30046,178093.545263158,147179.861052632
"kroA200","H",50,0.5,"GA","restart",224962.1299,196216.978947368,165303.294736842
"kroA200","H",50,0.5,"GA","ri",216354.40356,191346.851578947,160433.167368421
