"Instance","Metric","Frequency","Magnitude","Algorithm","Version","F.bog","F.off","E.acc"
"kroA100","H",10,0.1,"GA","restart",133380.84246,122068.52969697,100571.56
"kroA100","H",10,0.1,"GA","ri",99430.54348,95105.2016161616,73608.2319191919
"kroA100","H",10,0.25,"GA","restart",133413.2881,122024.576161616,100527.606464646
"kroA100","H",10,0.25,"GA","ri",117780.09404,110045.124848485,88548.1551515152
"kroA100","H",10,0.5,"GA","restart",133414.20198,122080.277575758,100583.307878788
"kroA100","H",10,0.5,"GA","ri",129917.96796,119269.939393939,97772.9696969697
"kroA100","H",10,0.75,"GA","restart",133387.28036,122016.794545454,100519.824848485
"kroA100","H",10,0.75,"GA","ri",134101.86244,122106.086262626,100609.116565657
"kroA100","H",10,1,"GA","restart",133435.72288,122125.878585859,100628.908888889
"kroA100","H",10,1,"GA","ri",134980.30006,122668.801414141,101171.831717172
"kroA100","H",25,0.1,"GA","restart",118217.44586,101925.676410256,80097.9841025641
"kroA100","H",25,0.1,"GA","ri",81728.2805,76475.8133333333,54648.121025641
"kroA100","H",25,0.25,"GA","restart",118171.50794,101789.992820513,79962.3005128205
"kroA100","H",25,0.25,"GA","ri",99892.33658,89835.1974358974,68007.5051282051
"kroA100","H",25,0.5,"GA","restart",118209.30528,101849.582564103,80021.8902564102
"kroA100","H",25,0.5,"GA","ri",113479.63034,98659.538974359,76831.8466666667
"kroA100","H",25,0.75,"GA","restart",118285.94282,101906.234358974,80078.542051282
"kroA100","H",25,0.75,"GA","ri",118550.18908,101918.098461538,80090.4061538462
"kroA100","H",25,1,"GA","restart",118209.3751,101876.694871795,80049.0025641026
"kroA100","H",25,1,"GA","ri",119557.70562,102380.22,80552.5276923077
"kroA100","H",50,0.1,"GA","restart",103633.45954,85898.1957894737,63496.0905263158
"kroA100","H",50,0.1,"GA","ri",70155.40872,65279.5431578947,42877.4378947368
"kroA100","H",50,0.25,"GA","restart",103693.49196,85866.6557894737,63464.5505263158
"kroA100","H",50,0.25,"GA","ri",85938.14572,75971.5705263158,53569.4652631579
"kroA100","H",50,0.5,"GA","restart",103642.37476,86089.5284210526,63687.4231578947
"kroA100","H",50,0.5,"GA","ri",98666.2681,83299.1410526316,60897.0357894737
"kroA100","H",50,0.75,"GA","restart",103700.03746,85923.1578947368,63521.052631579
"kroA100","H",50,0.75,"GA","ri",103628.54222,85764.1,63361.9947368421
"kroA100","H",50,1,"GA","restart",103640.4882,85816.1263157895,63414.0210526316
